setup,filter,match_rate,crval_ra,crval_dec,rms_px
B_20_2,B,1.0,35.02946500763,57.137245946696,0.6724904812697607
L_20_2,L,0.985,35.031088505025,57.138042826477,1.001032095624195
R_20_2,Rc,1.0,35.032836482785,57.138191558563,0.7529581985166696
V_20_2,V,0.995,35.030906051799,57.138318567512,0.7262904905064564
