filter,c1,c1_stderr,stderr_ratio,n_comp,comp_bp_rp_min,comp_bp_rp_max,resid_rms,comp_scatter_pre,comp_scatter_post,n_in_range,n_ct_ok,n_red_giant_blocked,gate_apply,gate_reason
B,-1.092182418764027,0.013063761689529859,0.01196115361783018,143,0.2167568206787109,2.634158134460449,0.053417602893542145,0.37874489854762466,0.05325894452988327,23,23,5,True,"Filter B — CT aplikovaný: c1=-1.0922 ± 0.0131 (stderr/c1=0.01, n_comp=143)"
V,-0.39663687720501006,0.010013891008255931,0.0252469994187657,133,0.2167568206787109,2.6443185806274414,0.057991895117138106,0.20832406083095137,0.05783226804530983,24,24,5,True,"Filter V — CT aplikovaný: c1=-0.3966 ± 0.0100 (stderr/c1=0.03, n_comp=133)"
Rc,-0.026349762920341916,0.009601373806563155,0.364381791046436,140,0.2167568206787109,2.6443185806274414,0.06398760802571109,0.06562187634000703,0.06390127892482536,24,24,5,True,"Filter Rc — CT aplikovaný: c1=-0.0263 ± 0.0096 (stderr/c1=0.36, n_comp=140)"
