catalog_id,obs_group,filter,target_bp_rp,comp_bp_rp_min,comp_bp_rp_max,presel_in_range,n_comp_used,c1,c1_stderr,stderr_ratio,gate_would_pass_min7,ct_ok,gate_bucket,gate_reason
598895363651012352,Green_240_1,Green,2.72762393951416,0.7443599700927734,0.9905900955200196,False,7,-0.6787177326873829,0.1205445273329588,0.1776062736060582,True,False,d_extrapolation,"Filter Green — CT aplikovaný: c1=-0.6787 ± 0.1205 (stderr/c1=0.18, n_comp=7)"
604942879467202816,Green_240_1,Green,2.7236928939819336,0.8563299179077148,1.6392860412597656,False,-1,,,,False,False,d_extrapolation,Filter Green — CT preskočený: málo COMP (-1 < 7)
608000110202916352,Green_60_1,Green,,0.5397787094116211,2.056389808654785,False,0,0.0,,,False,False,a_fit_starved,Filter Green — CT preskočený: málo COMP (0 < 7)
604997206508854656,Green_60_1,Green,0.7044057846069336,0.275639533996582,1.2154836654663086,True,0,0.0,,,False,False,a_fit_starved,Filter Green — CT preskočený: málo COMP (0 < 7)
604905156769963136,Green_60_1,Green,1.228102684020996,1.1147232055664062,1.2154836654663086,True,-1,,,,False,False,d_extrapolation,Filter Green — CT preskočený: málo COMP (-1 < 7)
604917629355042176,Green_60_1,Green,1.236659049987793,1.1147232055664062,1.297348976135254,True,6,-2.123544832676866,0.1387845187913161,0.0653551159625715,False,False,b_count,Filter Green — CT preskočený: málo COMP (6 < 7)
604921512005266048,Green_60_1,Green,1.227421760559082,1.1987409591674805,1.297348976135254,True,5,-1.911822432554251,0.2042595215683326,0.1068402159584642,False,False,b_count,Filter Green — CT preskočený: málo COMP (5 < 7)
604920202039656064,Green_60_1,Green,1.234161376953125,1.1987409591674805,1.2622442245483398,True,-1,,,,False,False,b_count,Filter Green — CT preskočený: málo COMP (-1 < 7)
604922164840316672,Green_60_1,Green,1.2390193939208984,1.1147232055664062,1.297348976135254,True,6,-2.123544832676866,0.1387845187913161,0.0653551159625715,False,False,b_count,Filter Green — CT preskočený: málo COMP (6 < 7)
604923367432823808,Green_60_1,Green,1.2470693588256836,1.1987409591674805,1.297348976135254,True,5,-1.911822432554251,0.2042595215683326,0.1068402159584642,False,False,b_count,Filter Green — CT preskočený: málo COMP (5 < 7)
604918144751101440,Green_60_1,Green,,1.1147232055664062,1.297348976135254,False,0,0.0,,,False,False,a_fit_starved,Filter Green — CT preskočený: málo COMP (0 < 7)
604713463788946176,Green_60_1,Green,,1.1147232055664062,1.4746809005737305,False,0,0.0,,,False,False,a_fit_starved,Filter Green — CT preskočený: málo COMP (0 < 7)
598905667277186304,Green_60_1,Green,,0.6315431594848633,0.9144496917724608,False,0,0.0,,,False,False,a_fit_starved,Filter Green — CT preskočený: málo COMP (0 < 7)
598959753800573568,Green_60_1,Green,0.6354618072509766,0.6315431594848633,0.9144496917724608,True,-1,,,,False,False,b_count,Filter Green — CT preskočený: málo COMP (-1 < 7)
604904503934969856,Green_60_1,Green,1.2657413482666016,1.1569328308105469,1.2622442245483398,True,6,-0.4893216262341256,0.5561686477260408,1.136611622924532,False,False,d_extrapolation,Filter Green — CT preskočený: málo COMP (6 < 7)
604904950611554432,Green_60_1,Green,1.1006708145141602,1.0057106018066406,1.2154836654663086,True,6,-0.4120264252936537,0.2440639093715865,0.5923501367603806,False,False,b_count,Filter Green — CT preskočený: málo COMP (6 < 7)
604950271106216064,Green_60_1,Green,1.3552112579345703,1.1569328308105469,1.4746809005737305,True,-1,,,,False,False,b_count,Filter Green — CT preskočený: málo COMP (-1 < 7)
604704770775147520,Green_60_1,Green,1.293354034423828,1.1569328308105469,1.2154836654663086,True,-1,,,,False,False,d_extrapolation,Filter Green — CT preskočený: málo COMP (-1 < 7)
