filter,catalog_id,bp_rp,in_range,ct_ok,ct_corr,scatter_pre,scatter_post
B,458435983029377152,0.6390390396118164,True,True,-0.08965350104588972,0.030664281144082473,0.030664281144082473
B,458342112224888064,0.2694149017333984,True,True,0.3140434838957291,0.021767484472606343,0.021767484472606343
B,458560846317541632,0.3718490600585937,True,True,0.20216669709205998,0.026280228838194537,0.026280228838194537
B,458409869627124736,0.6317653656005859,True,True,-0.08170932217100299,0.018432471661322836,0.018432471661322836
B,458412274808691712,0.6407241821289062,True,True,-0.091493984076167,0.021722859536602846,0.021722859536602846
B,458366404561614464,2.347328186035156,True,True,-1.9554168729348675,0.02582286691475162,0.02582286691475162
B,458374857056235520,0.7501058578491211,True,True,-0.2109587272327337,0.026856219288034094,0.026856219288034094
B,458588883863778944,0.5028400421142578,True,True,0.05910064947422949,,
B,458408804475281024,0.729090690612793,True,True,-0.1880063310498303,0.016780770376363555,0.016780770376363555
B,458569298815368064,0.584442138671875,True,True,-0.030023725720284538,0.02601908544091855,0.02601908544091855
B,458367297913936896,0.7195148468017578,True,True,-0.1775477627945874,0.02717975280550153,0.027014701974110097
B,458364686573954944,0.3121652603149414,True,True,0.26735229385710996,0.02740726575309188,0.02740726575309188
B,458414027155398272,0.7813806533813477,True,True,-0.2451165090634713,0.02696766742913022,0.02696766742913022
B,458436326626734336,2.4350452423095703,True,True,-2.051219899623518,0.02353191546296332,0.02353191546296332
B,458401417131679744,0.7215909957885742,True,True,-0.17981529621672301,0.02385373600796898,0.02385373600796898
B,458377708914487168,0.4464693069458008,True,True,0.12066777535802128,0.028451410444214585,0.028451410444214585
B,458374822697357696,0.5115833282470703,True,True,0.04955138607774835,0.028690676646725862,0.028690676646725862
B,458585825847085184,1.5596847534179688,True,True,-1.0951665635754273,0.025465318859751045,0.025465318859751045
B,458368672303402112,0.5207576751708984,True,True,0.03953132566390144,0.02454780709640728,0.02454780709640728
B,458537790932206720,0.8556461334228516,True,True,-0.3262279606858726,0.02801899805854145,0.027806873941282475
B,458371558521435904,0.4682464599609375,True,True,0.09688315170415494,0.028607315210236985,0.028011196163590577
