source_id,ra,dec,phot_g_mean_mag,bp_rp,x,y,blended,must
1399983008614862080,240.064980610227,49.109079241735046,8.046181,1.1734343,1342.0004366990747,1122.5219089489647,False,True
1400016578079287808,239.5511437846589,49.168150093199834,8.262318,1.353128,1465.4796167348068,1099.6200960925453,False,True
1403559376342746880,240.1460793166428,50.82020766513726,8.380512,0.5762987,1318.275242430143,490.6301857241582,False,True
1403945751600792320,240.15865197506514,51.94736227700774,9.223343,1.1686211,1312.6633738195085,74.22744977857701,False,True
1403082909850677504,238.64980916803302,49.39545096358692,9.777685,0.7472124,1680.183684612819,1011.714869871729,False,True
1403303258852606208,238.68736100281401,50.00826983011059,9.909359,1.2777653,1665.2655966739076,785.5649781248148,True,True
1400272519474196224,241.8818095006501,49.48227000123999,10.110134,1.9392529,906.6852701096576,981.7503461172982,False,True
1403170080507149568,237.61620694541952,49.44595047566198,10.315795,1.6923904,1927.1349086366217,985.3596052268662,False,True
1424676871544027520,243.35091325184376,51.6741804433575,10.350036,1.4110365,584.9692430804888,162.65455092295053,False,True
1403815356393317120,239.53532873223236,51.44563221978276,10.538669,0.8365612,1456.8355409747453,258.34538748071594,False,True
1423586946283290880,245.2820380669855,50.18702911880116,10.733173,1.2223682,110.34290971981886,688.1101203438404,False,True
1399905561764598784,238.68607833890675,48.63002784347645,11.165847,0.6114044,1678.8963330012568,1294.7751669561317,False,True
1411160776965621760,245.0869258152096,48.518247549542956,11.323698,0.9496279,119.60848079805987,1306.7631737796012,False,True
1403838721015384320,240.1339249351209,51.7962522064062,11.508641,0.76526546,1318.6525135489496,130.04594215599218,False,True
1404254572633289984,238.41499125562356,51.59048432882113,11.585166,0.87005424,1712.2834603424917,199.450556686568,True,True
1399189264299382784,243.93273727911293,48.54545537442644,11.651213,1.1483641,401.3602438486355,1311.702938563236,True,True
1423296773996810752,245.44050708116256,49.229037179495435,12.065878,0.6198931,50.296708144976265,1039.0057609161897,False,True
