target_catalog_id,target_vsx_name,catalog_id,inst_mag,sigma_iqr,inv_nv,spike,locus_sigma_iqr,locus_spread,n_frames,thr_inv_nv,FLAG,flag_reason
458293905511239808,Gaia DR3 458293905511239808,458310879221865088,-6.605907142498921,0.07287676988325273,0.5702704876846088,0.7171159114526847,0.04103836682498597,0.02186553752132792,9,1.0704646996536624,False,
458293905511239808,Gaia DR3 458293905511239808,458358226942974208,-8.807311905548122,0.029886710634620884,0.6022153654480146,0.7753839339780486,0.012255651297858251,0.004514581647951757,12,1.0704646996536624,False,
458293905511239808,Gaia DR3 458293905511239808,458389150705119104,-8.543772052881788,0.020143577983600666,0.7748845193692977,0.9181889556285406,0.016483909602415987,0.006931588975190601,12,1.0704646996536624,False,
458293905511239808,Gaia DR3 458293905511239808,458396744207145600,-8.64233729570159,0.02574764355494328,0.4266391580639304,1.1294725748521945,0.014648025724459087,0.005836463327734495,12,1.0704646996536624,False,
458293905511239808,Gaia DR3 458293905511239808,458406364933891840,-8.71091668747627,0.02277846390981548,0.5726430758175499,0.7625692713999244,0.013370660640000224,0.005074500503205201,12,1.0704646996536624,False,
458293905511239808,Gaia DR3 458293905511239808,458407464445472384,-8.070463043562388,0.029189099598329556,0.6348084042782534,1.2081196249696584,0.024434091617676915,0.010767231220973696,12,1.0704646996536624,False,
458293905511239808,Gaia DR3 458293905511239808,458407567524721152,-8.653192540437267,0.013986837109630989,0.713223335914175,1.392159698332471,0.014445835091824627,0.0057158543120271466,12,1.0704646996536624,False,
458293905511239808,Gaia DR3 458293905511239808,458407842402574208,-8.11840167783976,0.01734701169714048,0.47190468897846155,1.6008589767984367,0.023772337961274072,0.010614596490809997,12,1.0704646996536624,False,
458302632884676480,Gaia DR3 458302632884676480,458307855565031040,-8.238754455847673,0.04260325390938323,0.7672740551242442,0.8555211217962815,0.022110966249177355,0.010231397968937204,12,1.4495758068000197,False,
458302632884676480,Gaia DR3 458302632884676480,458308989436259584,-8.155238370509714,0.035637065587847384,0.5638438141727428,0.9238239966773409,0.023263837532932992,0.010497309907023118,12,1.4495758068000197,False,
458302632884676480,Gaia DR3 458302632884676480,458340634756388352,-6.647753479406004,0.0924644334565104,1.098590992005328,0.7589733229005416,0.04221172455605207,0.023859478549947116,7,1.4495758068000197,False,
458302632884676480,Gaia DR3 458302632884676480,458340840914582272,-8.025015117053366,0.02125020493635263,0.7988205348246931,1.2726956487134087,0.025061463089489346,0.010911935635352029,12,1.4495758068000197,False,
458302632884676480,Gaia DR3 458302632884676480,458342043505412480,-7.973963764498256,0.025606076158234386,0.43361686686861173,1.0870917685043213,0.02576618527707158,0.011074481138351874,12,1.4495758068000197,False,
