frame,mjd,source_id,flux_sep_small,flux_sep_big
proc_V842_Her_Light_001.fits,61160.8951534838,1400549875578714240,72193.06393554687,96021.0692578125
proc_V842_Her_Light_001.fits,61160.8951534838,1424482807741418496,37318.59442382812,47229.32792968752
proc_V842_Her_Light_001.fits,61160.8951534838,1424604750453125632,30910.269697265627,39615.44872070313
proc_V842_Her_Light_001.fits,61160.8951534838,1424610110572298240,56967.70025390625,72545.6466113281
proc_V842_Her_Light_001.fits,61160.8951534838,1399451326023390720,97303.67425781251,125186.60340820314
proc_V842_Her_Light_001.fits,61160.8951534838,1424666116946228224,35946.64652343751,45548.67886718751
proc_V842_Her_Light_001.fits,61160.8951534838,1400589767235049472,99303.79998046877,132331.8466601562
proc_V842_Her_Light_001.fits,61160.8951534838,1400240741012505344,26993.586826171875,34819.540498046874
proc_V842_Her_Light_001.fits,61160.8951534838,1403476981690082304,27101.055380859376,36299.10772460936
proc_V842_Her_Light_001.fits,61160.8951534838,1402893450252244224,1144935.2827343752,2783284.84171875
proc_V842_Her_Light_001.fits,61160.8951534838,1423245238684739584,1535209.8139843752,2647926.308916016
proc_V842_Her_Light_001.fits,61160.8951534838,1403076622018971264,1325379.4738671877,2025684.390400391
proc_V842_Her_Light_001.fits,61160.8951534838,1400514828645544064,913978.0220312502,1334381.6854296876
proc_V842_Her_Light_001.fits,61160.8951534838,1399377001618295680,661822.6287890626,906895.4009570311
proc_V842_Her_Light_001.fits,61160.8951534838,1403535771202501120,481560.43544921884,670241.0256542966
proc_V842_Her_Light_001.fits,61160.8951534838,1424471709545978240,460866.1419042969,624285.113769531
proc_V842_Her_Light_001.fits,61160.8951534838,1400123058908995456,574233.9462890624,731348.3502539066
proc_V842_Her_Light_001.fits,61160.8951534838,1403481345376841728,237862.04594726564,413408.58367187507
proc_V842_Her_Light_001.fits,61160.8951534838,1403439495215489024,461384.389765625,583708.5352929686
proc_V842_Her_Light_001.fits,61160.8951534838,1399452116297368448,420905.89323242195,537567.797890625
proc_V842_Her_Light_001.fits,61160.8951534838,1423200605384577280,398834.6130957031,496045.4366503905
proc_V842_Her_Light_001.fits,61160.8951534838,1399983008614862080,330418.0581640625,442254.8416308593
proc_V842_Her_Light_001.fits,61160.8951534838,1403435853083220736,267541.83756835945,384760.1685156251
proc_V842_Her_Light_001.fits,61160.8951534838,1400593478086775168,388892.36681640625,491220.9877734376
proc_V842_Her_Light_001.fits,61160.8951534838,1404459017373212544,307524.59453125,414655.6047656249
proc_V842_Her_Light_001.fits,61160.8951534838,1399761628820710400,314715.07708984375,418247.88759765634
proc_V842_Her_Light_001.fits,61160.8951534838,1404129954158390272,302214.10920898436,401771.40904296876
proc_V842_Her_Light_001.fits,61160.8951534838,1424541116217519488,301253.1559667969,389148.9966308595
proc_V842_Her_Light_001.fits,61160.8951534838,1399489602772012672,296009.22526367183,391792.3636230469
proc_V842_Her_Light_001.fits,61160.8951534838,1400265308225459328,294143.5849511719,389240.2159863281
proc_V842_Her_Light_001.fits,61160.8951534838,1403113730536432640,328010.4290429688,420302.27551757806
proc_V842_Her_Light_001.fits,61160.8951534838,1400016578079287808,248792.90449218755,343202.94061523443
proc_V842_Her_Light_001.fits,61160.8951534838,1403559376342746880,287061.87429687503,365417.05716796865
proc_V842_Her_Light_001.fits,61160.8951534838,1403766939225964288,222391.19640625,295620.7278124998
proc_V842_Her_Light_001.fits,61160.8951534838,1424466864822909952,197211.49063476562,272024.68272460945
proc_V842_Her_Light_001.fits,61160.8951534838,1424530877015473792,270054.8231542969,336373.55733398447
proc_V842_Her_Light_001.fits,61160.8951534838,1401457007031618944,200841.2835449219,265946.4252539061
proc_V842_Her_Light_001.fits,61160.8951534838,1424342070252851200,165889.88991210941,234108.45635742194
proc_V842_Her_Light_001.fits,61160.8951534838,1404146545615445376,252373.96507812498,313692.4833398437
proc_V842_Her_Light_001.fits,61160.8951534838,1423251285998705536,138297.96413085936,198893.63648437502
proc_V842_Her_Light_001.fits,61160.8951534838,1403539275895809920,254921.58421875,312095.719248047
proc_V842_Her_Light_001.fits,61160.8951534838,1424277744526838272,221306.97043945314,277126.75562499993
