target_catalog_id,target_vsx_name,catalog_id,inst_mag,sigma_iqr,inv_nv,spike,locus_sigma_iqr,locus_spread,n_frames,thr_inv_nv,FLAG,flag_reason,VYVAR_comp_rms,VYVAR_comp_tier,VYVAR_selected_tier
1399187099635410432,Gaia DR3 1399187099635410432,1400164118796369664,-9.984991452340527,0.028226233202175908,0.5011821989809822,1.0147774862438703,0.03169652295012666,0.004802941218626405,127,0.661739814129065,False,,0.0237788861528654,1,TIER1
1399187099635410432,Gaia DR3 1399187099635410432,1400171982879725056,-9.880148797603441,0.03432805415137821,0.5472325603577006,1.0062455566332036,0.03415231256223679,0.0049140391289952115,127,0.661739814129065,False,,0.0322134196995119,1,TIER1
1399187099635410432,Gaia DR3 1399187099635410432,1400184734639412992,-9.880779571245204,0.03177452394926901,0.45500929887377833,0.9886607099654057,0.03413753758957972,0.004913370721335263,127,0.661739814129065,False,,0.0296783816050655,1,TIER1
1399187099635410432,Gaia DR3 1399187099635410432,1400270084229050880,-10.023984499685781,0.032887769972969515,0.5339333487975165,1.016121213662995,0.030783166445990738,0.004761621718563829,127,0.661739814129065,False,,0.0271578585683268,1,TIER1
1399187099635410432,Gaia DR3 1399187099635410432,1400309323050337792,-10.046158837227068,0.028970951437729115,0.500767036169442,0.9836525756642367,0.030263764224386612,0.0047381243875316515,127,0.661739814129065,False,,0.0269879700749669,1,TIER1
1399187099635410432,Gaia DR3 1399187099635410432,1400343781572357376,-10.004203285992153,0.032678914003274113,0.5176737441263662,0.8984116154681502,0.031246513155644008,0.004782583144153747,127,0.661739814129065,False,,0.0232464831644187,1,TIER1
1399187099635410432,Gaia DR3 1399187099635410432,1424342306475225600,-9.492461629476495,0.03532983476184911,0.482566179888966,1.0270471725174122,0.04447811219504599,0.007397810313139955,127,0.661739814129065,False,,0.0309573705060939,1,TIER1
1399187099635410432,Gaia DR3 1399187099635410432,1424553515787027968,-10.139886955712704,0.021485613872077734,0.5467974813666162,1.3424940112587458,0.028068316767272262,0.00463880414299314,127,0.661739814129065,False,,0.0260994762224176,1,TIER1
1399189264299382784,Gaia DR3 1399189264299382784,1399200396854204672,-10.910447982806051,0.016155709059882416,0.5321792967623791,1.0303573407616027,0.017005942798529638,0.003024574707100408,127,0.6336911200118551,False,,0.0162892641105595,1,TIER1
1399189264299382784,Gaia DR3 1399189264299382784,1399435932860574208,-11.769501208995381,0.01013128767893112,0.5243446940064956,1.0996447610569084,0.01007665091383873,0.001769364991300637,127,0.6336911200118551,False,,0.0110730497363176,1,TIER1
1399189264299382784,Gaia DR3 1399189264299382784,1399477022811768832,-10.864086919620544,0.017822713194414006,0.5372227778430366,0.9928139209052016,0.017354797301140326,0.0030785975902413677,127,0.6336911200118551,False,,0.0161129306163753,1,TIER1
1399189264299382784,Gaia DR3 1399189264299382784,1400502493499502848,-11.496591068132497,0.010480803235280294,0.5349851284016697,1.1441466080051392,0.012341956670476384,0.0022238911461160762,127,0.6336911200118551,False,,0.0120873352886141,1,TIER1
1399189264299382784,Gaia DR3 1399189264299382784,1411167000374445824,-10.634265401437403,0.02109672903081253,0.5058220265713326,0.9677317361687844,0.019897395400240537,0.003514898441813335,127,0.6336911200118551,False,,0.008410078613333,1,TIER1
1399189264299382784,Gaia DR3 1399189264299382784,1423504723428898816,-11.246669210820512,0.01584754967023135,0.5832069115452422,0.9272391963536715,0.014475968695114218,0.0026327881762813077,127,0.6336911200118551,False,,0.0143600079287981,1,TIER1
1399189264299382784,Gaia DR3 1399189264299382784,1423586946283290880,-11.095206985064488,0.014555680297925672,0.5769096003103873,1.1205729038285297,0.015615681113248387,0.0028092816723330797,127,0.6336911200118551,False,,0.015546156781344,1,TIER1
1399189264299382784,Gaia DR3 1399189264299382784,1424390139526931456,-11.432796130736094,0.013788477606733546,0.5090580021268428,0.8776712453699657,0.012887557342367887,0.002328671731209854,127,0.6336911200118551,False,,0.0111165343065248,1,TIER1
1399344329798455552,Gaia DR3 1399344329798455552,1399176619915269376,-9.582988488652349,0.04213594336111542,0.5181586617823213,1.0024973176425336,0.04192009895639972,0.006573222149698867,127,0.6668614157530781,False,,0.0390419440606317,1,TIER1
1399344329798455552,Gaia DR3 1399344329798455552,1399393322489117440,-9.866090139550785,0.030996544331196134,0.540817503340603,1.1099760351592312,0.03448161657015704,0.004928936572561062,127,0.6668614157530781,False,,0.0330456597843234,1,TIER1
1399344329798455552,Gaia DR3 1399344329798455552,1400129960920622336,-9.611763886078549,0.035454549256505444,0.5278356828224318,1.1467059959277663,0.04110699389306664,0.006311113728706765,127,0.6668614157530781,False,,0.0375388496155085,1,TIER1
1399344329798455552,Gaia DR3 1399344329798455552,1400426760340511744,-9.733094593553176,0.04134018420538227,0.505442357118185,0.976298024978371,0.037678557749363614,0.005205940455754032,127,0.6668614157530781,False,,0.0401660521196074,1,TIER1
1399344329798455552,Gaia DR3 1399344329798455552,1403606582326998016,-9.494834511866515,0.03745797332687465,0.5901005454967431,1.0939866051952658,0.04441106176799395,0.007376196277815397,127,0.6668614157530781,False,,0.0346523378245568,1,TIER1
1399344329798455552,Gaia DR3 1399344329798455552,1403647745293564160,-9.761810221398104,0.03555519616476664,0.5937146956892695,1.1792044123748762,0.036924224880612797,0.005039438171640612,127,0.6668614157530781,False,,0.040176276076872,1,TIER1
1399344329798455552,Gaia DR3 1399344329798455552,1423218674310854656,-9.517457002736181,0.03639629012114668,0.5405139001175462,1.1178395727271124,0.04377181909833114,0.007170133255542149,127,0.6668614157530781,False,,0.0344256893778059,1,TIER1
1399344329798455552,Gaia DR3 1399344329798455552,1423246230821017600,-9.627073102643552,0.04052251716596338,0.4921210465106037,1.0023280803093135,0.04067440207442743,0.006171665625834503,127,0.6668614157530781,False,,0.0341246900604478,1,TIER1
1399363365093103488,Gaia DR3 1399363365093103488,1399471907506736384,-9.50613596481763,0.044287036149921896,0.4924345283837282,0.926340718331016,0.04409171713891834,0.007273253964141685,127,0.5929631839400941,False,,0.0354189960683118,4,TIER4
1399363365093103488,Gaia DR3 1399363365093103488,1400033139473227776,-9.470452403972644,0.046182848001903025,0.6153868250737633,0.9212471241255155,0.045100025853862274,0.007598287243436702,127,0.5929631839400941,False,,0.0356066381370416,4,TIER4
1399363365093103488,Gaia DR3 1399363365093103488,1423218674310854656,-9.517457002736181,0.04093111111481071,0.513263853681045,0.947799468976553,0.04377181909833114,0.007170133255542149,127,0.5929631839400941,False,,0.0352963078423639,4,TIER4
1399363365093103488,Gaia DR3 1399363365093103488,1423246230821017600,-9.627073102643552,0.040648328522065964,0.4743275097191301,0.9363076445240053,0.04067440207442743,0.006171665625834503,127,0.5929631839400941,False,,0.0362967284061206,4,TIER4
1399363365093103488,Gaia DR3 1399363365093103488,1423382402760530432,-11.11098085659754,0.023121070102349685,0.5084901392161983,0.9395387605734521,0.015496986982229673,0.0027909009459226265,127,0.5929631839400941,False,,0.0065121381387292,4,TIER4
1399363365093103488,Gaia DR3 1399363365093103488,1423495132765749760,-9.569346410294457,0.03582468582615512,0.48795039775236415,1.054721603059131,0.04230558252845592,0.006697484677318446,127,0.5929631839400941,False,,0.0368844498048974,4,TIER4
1399363365093103488,Gaia DR3 1399363365093103488,1424342306475225600,-9.492461629476495,0.03917223561340924,0.5188567256286407,0.9633222854885585,0.04447811219504599,0.007397810313139955,127,0.5929631839400941,False,,0.0340493599588665,4,TIER4
1399363365093103488,Gaia DR3 1399363365093103488,1424548396186014976,-9.459725108999082,0.03476399565080791,0.44272578730791406,1.2690963046747696,0.04540314652773795,0.007695999685263017,127,0.5929631839400941,False,,0.0348008066805986,4,TIER4
1399392570870712448,Gaia DR3 1399392570870712448,1399400645409389568,-9.18262976927908,0.0525586440532786,0.5219573246308377,0.9461608809631555,0.05418116662237296,0.00970614181800334,127,0.5810097423739218,False,,0.0413975047218193,2,TIER1
1399392570870712448,Gaia DR3 1399392570870712448,1399948060464787200,-9.182207099393441,0.05424900374231368,0.5357580326622068,1.0082531380353332,0.05419905852473343,0.009706767976848371,127,0.5810097423739218,False,,0.0500865800895082,2,TIER1
1399392570870712448,Gaia DR3 1399392570870712448,1399981977822706432,-8.966209033303276,0.06659332364168422,0.47251929259193154,1.009106898435905,0.06334240286944398,0.010026755523127765,127,0.5810097423739218,False,,0.0581285845965713,1,TIER1
