source_id,ra,dec,phot_g_mean_mag,bp_rp,x,y,blended,nn_bright_px,must_include
1400549875578714240,241.5090212035643,50.187060873126946,10.005785,0.9037466,998.7963136497059,722.9597390947285,False,inf,True
1424482807741418496,244.42242613061097,51.17644987865307,10.520803,0.840785,331.24359477351663,334.97642244782696,True,8.911062132104576,True
1424604750453125632,243.42769842034434,51.333034205170286,10.73773,0.82240105,562.7558693372946,287.91434514152746,False,inf,True
1424610110572298240,243.7204534203031,51.45382284457646,10.099805,0.84945583,497.31881074202016,240.4935702609871,True,13.075231354102096,True
1399451326023390720,242.62474058434333,49.03794164196534,9.526238,0.7988806,724.7948427859077,1141.6042453070183,False,inf,True
1424666116946228224,243.5712507339401,51.68488781913081,10.537199,0.8762579,534.8622238787361,156.65649629424092,False,inf,True
1400589767235049472,242.02678739425664,50.719348001150095,9.375093,1.0291739,880.5046384171667,524.3343382262354,False,inf,True
1400240741012505344,242.89290296914893,49.62456751668984,10.841083,0.8905487,666.6528092562697,923.0483776706061,False,inf,True
1403476981690082304,240.72609064548757,50.38468843487543,10.823086,0.8150549,1183.279681559478,651.5603315677386,True,9.525231669486503,True
1402893450252244224,237.6942691540535,48.482917538259905,4.6493096,4.494118,1922.4902888106599,1341.962521220732,False,inf,False
1423245238684739584,244.7965737401997,49.038303284529405,5.4663253,1.5382156,201.0652956955597,1118.9537868312486,False,inf,False
1403076622018971264,239.76846526027634,49.88079899006342,5.9799395,0.40103292,1410.1074831608134,836.9364250157925,False,inf,False
1400514828645544064,242.28889400073314,50.180941423428784,6.5916095,1.1729155,815.0895108726562,721.7149324992649,False,inf,False
1399377001618295680,242.56691520806925,48.611311768715304,7.153804,1.1169648,734.679446487336,1299.587716564566,False,inf,False
1403535771202501120,239.78096566801344,50.639419902439506,7.509441,1.2970109,1403.9180450014394,556.7927361581094,False,inf,False
1424471709545978240,245.28542809171773,51.48851253616762,7.5303526,1.4402466,139.42282601037368,208.0035955740663,False,inf,False
1400123058908995456,241.78393004087505,49.08307934127621,7.577519,0.32823706,927.8229426283938,1129.6034897026047,False,inf,False
1403481345376841728,241.05584012654361,50.49916424367038,7.629127,2.486874,1106.1679125615326,608.8653716468381,False,inf,False
1403439495215489024,240.00709572923475,49.900279862584874,7.87236,0.46843147,1353.4654492643845,830.1881258236979,False,inf,False
1399452116297368448,242.73777870611136,49.06400064391708,7.9868875,0.6139269,697.8052866793666,1131.1805497026496,False,inf,False
1423200605384577280,245.06857420555338,49.052197041291215,8.019538,0.6990323,135.77340964011,1109.9437463823456,False,inf,False
1399983008614862080,240.064980610227,49.109079241735046,8.046181,1.1734343,1342.0004366990747,1122.5219089489647,False,inf,False
1403435853083220736,240.003680265823,49.83795505071685,8.060831,1.5635653,1354.4713141252794,853.2011033749247,False,inf,False
1400593478086775168,242.2791954987315,50.733561958680575,8.06608,0.5612259,821.8441389070117,517.7606894739182,False,inf,False
1404459017373212544,237.62001349794897,51.77140219478283,8.091824,1.1327596,1891.4620695347419,126.38815726025746,False,inf,False
1399761628820710400,240.29892749437101,48.578307045692135,8.128003,1.1756072,1286.540670189799,1318.8707965819708,False,inf,False
1404129954158390272,237.05568160294678,50.95444530303618,8.1514845,1.0472617,2034.604867164372,422.5938929674649,False,inf,False
1424541116217519488,245.13991844657,51.834927394438566,8.1747465,1.1172271,180.45536966534848,82.32293716929485,False,inf,False
1399489602772012672,243.13640093269146,49.47166405929628,8.180852,1.1743116,606.7548072168464,977.5231326811617,False,inf,False
1400265308225459328,242.92733748678458,49.96289728303105,8.187106,1.1120796,662.2692544420345,797.8928781723561,False,inf,False
1403113730536432640,238.7491925930877,49.86082539902551,8.216938,0.71028566,1652.0176518027267,840.3696408899913,False,inf,False
1400016578079287808,239.5511437846589,49.168150093199834,8.262318,1.353128,1465.4796167348068,1099.6200960925453,False,inf,False
1403559376342746880,240.1460793166428,50.82020766513726,8.380512,0.5762987,1318.275242430143,490.6301857241582,False,inf,False
1403766939225964288,240.44716923106932,51.347915840454625,8.385538,0.93884706,1247.783516939034,295.90294637757626,False,inf,False
1424466864822909952,245.3039745431245,51.329596879804335,8.410021,1.5885806,131.5114186716146,266.35317374640636,False,inf,False
1424530877015473792,244.9188369493269,51.63515453913764,8.453648,0.63542366,226.48484288078248,159.19067522209696,False,inf,False
1401457007031618944,237.2397307679395,48.68705332638421,8.593145,1.1144443,2030.0728370425059,1262.1412928938953,False,inf,False
1424342070252851200,243.2061798351002,50.398299239697614,8.618685,1.4899297,601.8177925597034,634.904398365162,False,inf,False
1404146545615445376,237.8147737325582,50.83620610706097,8.619596,0.24623775,1860.1508735627726,473.59748760154406,False,inf,False
