frame,mjd,source_id,psf_flux
proc_V842_Her_Light_001.fits,61160.8951534838,1424705695068542976,103996.87679960787
proc_V842_Her_Light_001.fits,61160.8951534838,1403869850938712064,142924.97749728523
proc_V842_Her_Light_001.fits,61160.8951534838,1423542416061967360,97524.921276685
proc_V842_Her_Light_001.fits,61160.8951534838,1400141711950227968,34538.91442225454
proc_V842_Her_Light_001.fits,61160.8951534838,1403092255699592960,14642.719630301899
proc_V842_Her_Light_001.fits,61160.8951534838,1423536059510326528,31697.047421337295
proc_V842_Her_Light_001.fits,61160.8951534838,1400572553006055680,30987.016592997054
proc_V842_Her_Light_001.fits,61160.8951534838,1400164118796369664,11186.27015150337
proc_V842_Her_Light_001.fits,61160.8951534838,1400410267666095872,7656.82854676398
proc_V842_Her_Light_001.fits,61160.8951534838,1402970205613203456,1386.077685728336
proc_V842_Her_Light_001.fits,61160.8951534838,1403467223524414976,7641.845817734217
proc_V842_Her_Light_001.fits,61160.8951534838,1403375757900595456,5876.94027153041
proc_V842_Her_Light_001.fits,61160.8951534838,1423642609059388672,6033.576764223986
proc_V842_Her_Light_001.fits,61160.8951534838,1423581448724987264,2446.7830235344645
proc_V842_Her_Light_001.fits,61160.8951534838,1402918635941625088,1023.2365590012067
proc_V842_Her_Light_001.fits,61160.8951534838,1399484964207321344,3270.107692470576
proc_V842_Her_Light_001.fits,61160.8951534838,1400571109897445376,127913.82346610625
proc_V842_Her_Light_001.fits,61160.8951534838,1424709650733844480,65645.07402326325
proc_V842_Her_Light_001.fits,61160.8951534838,1399968233927428608,24648.558900541317
proc_V842_Her_Light_001.fits,61160.8951534838,1400115877723691264,32051.238008521377
proc_V842_Her_Light_001.fits,61160.8951534838,1399748537760382976,1943.9165091342409
proc_V842_Her_Light_001.fits,61160.8951534838,1403380838845918208,17689.330419239144
proc_V842_Her_Light_001.fits,61160.8951534838,1403220245725252352,7603.257064474733
proc_V842_Her_Light_001.fits,61160.8951534838,1404501206835188736,7723.409383831609
proc_V842_Her_Light_001.fits,61160.8951534838,1403639911273821184,10564.61039673586
proc_V842_Her_Light_001.fits,61160.8951534838,1424532625065775616,5024.277610417039
proc_V842_Her_Light_001.fits,61160.8951534838,1403328715123556096,9631.3873417768
proc_V842_Her_Light_001.fits,61160.8951534838,1404255539001851392,18962.9318309017
proc_V842_Her_Light_001.fits,61160.8951534838,1403150804693811072,7655.281447415711
proc_V842_Her_Light_001.fits,61160.8951534838,1424580625620596992,10787.063232333376
proc_V842_Her_Light_001.fits,61160.8951534838,1403076995679614464,6091.335239651451
proc_V842_Her_Light_001.fits,61160.8951534838,1423550524960228096,7857.481477820243
proc_V842_Her_Light_001.fits,61160.8951534838,1403098680970674944,2612.4643405056354
proc_V842_Her_Light_001.fits,61160.8951534838,1399967031336492800,4842.3567514821
proc_V842_Her_Light_001.fits,61160.8951534838,1423205828064807168,137268.07784889598
proc_V842_Her_Light_001.fits,61160.8951534838,1399190707407939328,111565.61763813991
proc_V842_Her_Light_001.fits,61160.8951534838,1404146240673982464,59574.11747403399
